"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2","therm_trans_t3","therm_trans_t4","therm_obama_t0","therm_obama_t1","therm_obama_t2","therm_obama_t4"
19,1,1,0,0,"African American",0,50,NA,NA,NA,NA,75,NA,NA,NA
58,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
29,0,0,1,0,"African American",1,0,3,29,5,NA,83,71,50,NA
59,1,1,0,1,"African American",1,100,97,86,62,NA,100,100,100,NA
35,1,1,1,1,"African American",1,50,100,100,100,99,100,100,100,94
51,1,1,1,1,"African American",1,50,NA,NA,NA,NA,95,NA,NA,NA
72,1,1,1,0,"African American",0,50,NA,NA,NA,NA,100,NA,NA,NA
63,1,1,1,1,"African American",1,50,50,50,50,50,100,100,50,100
65,0,1,1,1,"African American",0,50,50,50,49,NA,100,100,100,NA
51,1,1,1,0,"Caucasian",0,47,30,50,50,50,0,0,9,0
18,0,0,0,0,"Hispanic",0,54,NA,NA,NA,NA,100,NA,NA,NA
26,1,1,1,0,"African American",1,74,50,50,50,50,75,74,50,77
45,1,0,1,0,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
18,1,0,0,0,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
62,1,1,1,1,"African American",1,76,84,NA,72,62,100,100,NA,50
20,0,1,0,1,"African American",1,50,50,NA,NA,50,100,100,NA,50
51,1,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
41,1,1,1,1,"Caucasian",0,100,NA,NA,NA,NA,89,NA,NA,NA
41,0,1,1,1,"Hispanic",0,100,NA,NA,NA,NA,77,NA,NA,NA
39,0,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
68,1,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
72,0,1,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
37,0,1,1,0,"Caucasian",0,50,NA,NA,50,NA,0,NA,NA,NA
17,1,0,0,0,"African American",1,66,NA,NA,NA,NA,88,NA,NA,NA
51,1,1,1,0,"Caucasian",0,50,50,50,50,78,7,23,30,50
56,1,1,1,1,"African American",1,51,NA,NA,NA,NA,100,NA,NA,NA
26,0,1,1,0,"African American",1,25,NA,NA,NA,NA,100,NA,NA,NA
69,1,1,1,0,"African American",1,60,NA,NA,NA,NA,100,NA,NA,NA
68,0,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
55,0,0,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
34,1,0,1,1,"African American",1,87,NA,NA,NA,NA,100,NA,NA,NA
37,1,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
40,1,1,1,1,"African American",1,54,NA,NA,NA,NA,100,NA,NA,NA
30,1,1,1,1,"African American",1,77,NA,NA,NA,NA,100,NA,NA,NA
70,0,1,1,0,"African American",1,50,NA,NA,NA,NA,97,NA,NA,NA
53,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
44,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
36,1,1,1,1,"African American",1,50,NA,NA,NA,NA,97,NA,NA,NA
61,1,1,1,1,"African American",1,50,NA,NA,NA,NA,91,NA,NA,NA
68,0,1,1,1,"African American",1,41,NA,NA,NA,NA,100,NA,NA,NA
31,1,1,1,0,"African American",0,50,NA,NA,NA,NA,70,NA,NA,NA
52,1,1,1,1,"African American",1,50,NA,NA,NA,NA,74,NA,NA,NA
46,1,0,0,0,"African American",0,0,NA,NA,NA,NA,0,NA,NA,NA
37,1,0,0,0,"African American",1,0,NA,NA,NA,NA,3,NA,NA,NA
66,1,0,1,0,"African American",0,0,NA,NA,NA,NA,0,NA,NA,NA
35,1,0,0,1,"Caucasian",0,84,NA,NA,NA,NA,81,NA,NA,NA
76,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
26,1,0,1,1,"Hispanic",0,50,NA,NA,NA,NA,9,NA,NA,NA
21,1,0,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
24,0,0,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
69,1,1,1,1,"African American",1,11,NA,NA,NA,NA,100,NA,NA,NA
79,0,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,50,NA,NA,NA
58,0,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
31,0,0,1,0,"African American",0,50,NA,NA,NA,NA,90,NA,NA,NA
27,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
46,0,0,1,1,"African American",1,8,NA,NA,NA,NA,100,NA,NA,NA
51,1,0,1,0,"Hispanic",1,92,NA,NA,NA,NA,60,NA,NA,NA
83,1,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,22,NA,NA,NA
53,1,0,1,1,"Caucasian",0,100,50,100,50,100,95,50,70,76
48,0,1,1,0,"Hispanic",0,0,NA,NA,NA,NA,50,NA,NA,NA
30,1,1,1,0,"Hispanic",0,21,NA,NA,NA,NA,50,NA,NA,NA
19,1,1,0,1,"Caucasian",0,100,NA,NA,NA,NA,70,NA,NA,NA
66,1,1,1,1,"Hispanic",1,64,89,84,70,50,88,94,87,50
54,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,70,NA,NA,NA
35,1,0,1,1,"African American",0,0,NA,NA,NA,NA,0,NA,NA,NA
64,1,1,1,0,"African American",1,36,30,36,40,50,100,100,100,100
57,1,1,1,0,"Caucasian",1,80,59,57,50,75,83,50,84,50
31,0,0,1,0,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
70,0,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
39,1,0,1,0,"African American",1,50,NA,NA,NA,70,80,NA,NA,50
61,0,1,0,0,"Hispanic",0,50,50,50,50,54,9,50,11,0
46,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
57,1,0,1,1,"African American",1,50,NA,50,NA,NA,0,NA,50,NA
82,1,1,1,1,"Hispanic",1,50,50,NA,NA,NA,28,50,NA,NA
72,1,1,1,0,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
75,0,1,1,0,"African American",1,50,NA,NA,NA,27,50,NA,NA,50
73,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
48,1,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
50,1,1,1,1,"African American",1,50,81,71,75,90,91,90,50,50
58,1,0,1,0,"African American",1,50,50,50,50,50,100,100,100,50
21,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
23,1,0,0,1,"Caucasian",0,100,100,100,50,NA,86,88,50,NA
40,1,0,0,1,"Caucasian",0,100,100,100,50,NA,88,81,80,NA
68,1,0,1,1,"Caucasian",0,100,100,99,98,95,74,60,75,50
22,1,0,0,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
63,1,1,1,1,"African American",0,10,NA,NA,NA,NA,75,NA,NA,NA
19,1,0,0,0,"African American",1,66,NA,NA,NA,NA,89,NA,NA,NA
45,1,0,1,0,"Hispanic",0,0,NA,NA,NA,NA,50,NA,NA,NA
28,1,0,1,1,"African American",0,14,19,27,17,22,100,81,83,81
25,0,1,1,1,"Hispanic",0,23,NA,NA,NA,NA,25,NA,NA,NA
26,1,1,1,1,"Hispanic",0,81,NA,NA,NA,NA,78,NA,NA,NA
58,1,1,0,0,"African American",1,50,50,50,50,50,50,50,42,50
22,0,1,0,0,"African American",0,50,50,50,50,50,50,50,50,50
18,1,0,0,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
31,0,0,0,0,"Hispanic",0,50,50,50,50,NA,50,50,50,NA
17,0,0,0,0,"Hispanic",0,50,50,50,50,NA,50,50,50,NA
40,0,1,1,0,"Hispanic",1,60,50,50,50,50,100,50,100,50
88,1,0,1,0,"Hispanic",1,83,NA,NA,NA,NA,77,NA,NA,NA
53,1,0,1,0,"Hispanic",0,67,NA,NA,NA,NA,38,NA,NA,NA
23,0,1,1,0,"Hispanic",0,70,NA,NA,NA,NA,85,NA,NA,NA
58,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,83,NA,NA,NA
34,1,1,1,1,"Hispanic",1,100,NA,NA,NA,NA,92,NA,NA,NA
25,1,0,1,0,"African American",1,50,50,50,50,50,50,50,50,50
23,1,0,1,1,"African American",1,100,50,NA,100,NA,100,50,NA,NA
40,1,1,1,0,"African American",1,70,NA,NA,NA,NA,100,NA,NA,NA
41,1,1,1,0,"African American",1,50,65,NA,8,50,100,100,NA,100
29,0,0,0,0,"African American",0,39,NA,NA,NA,NA,100,NA,NA,NA
19,1,1,0,0,"African American",0,50,NA,NA,NA,NA,50,NA,NA,NA
31,1,0,1,0,"Hispanic",0,0,NA,NA,NA,NA,0,NA,NA,NA
22,1,0,0,1,"Hispanic",0,10,NA,NA,NA,NA,50,NA,NA,NA
57,1,0,1,1,"Hispanic",0,40,NA,NA,NA,NA,55,NA,NA,NA
58,0,0,1,1,"Hispanic",0,20,NA,NA,NA,NA,50,NA,NA,NA
58,1,1,1,1,"Caucasian",0,44,50,47,40,50,59,66,50,65
57,0,1,1,1,"Caucasian",0,50,50,50,50,NA,50,50,50,NA
31,1,0,1,1,"African American",1,52,78,96,97,100,100,96,100,50
56,1,1,1,0,"Hispanic",0,53,NA,NA,NA,NA,0,NA,NA,NA
65,0,0,0,1,"African American",1,66,55,50,54,NA,100,97,100,NA
45,0,1,1,1,"African American",0,79,NA,NA,NA,NA,100,NA,NA,NA
65,1,1,1,1,"African American",0,41,65,75,59,NA,100,100,100,NA
55,1,1,1,1,"Caucasian",1,68,77,70,64,50,100,100,100,50
22,1,0,0,1,"African American",1,69,NA,50,50,NA,100,NA,50,NA
74,0,1,1,1,"African American",1,63,81,70,59,NA,100,100,100,NA
33,1,0,0,1,"African American",0,0,0,0,0,NA,100,77,50,NA
17,1,0,0,1,"African American",1,0,0,14,0,NA,74,74,50,NA
48,1,1,1,1,"African American",0,50,50,55,0,4,69,50,74,72
81,1,1,1,1,"African American",1,0,50,65,51,85,100,50,100,90
46,1,1,1,1,"African American",0,95,100,86,90,NA,89,50,84,NA
42,0,0,0,0,"African American",1,50,50,50,50,NA,50,50,50,NA
19,0,0,0,0,"Hispanic",0,50,50,50,50,NA,50,50,50,NA
66,1,1,1,1,"African American",1,63,NA,NA,NA,NA,100,NA,NA,NA
49,0,1,1,0,"Caucasian",0,0,NA,NA,NA,NA,0,NA,NA,NA
53,0,0,0,1,"Caucasian",0,66,NA,NA,NA,NA,0,NA,NA,NA
51,1,0,1,0,"African American",0,100,NA,NA,NA,NA,100,NA,NA,NA
23,0,0,1,0,"African American",1,41,NA,NA,NA,NA,100,NA,NA,NA
48,1,0,1,0,"African American",1,41,NA,NA,NA,NA,100,NA,NA,NA
76,0,1,1,0,"African American",1,50,NA,NA,NA,NA,83,NA,NA,NA
85,1,1,1,0,"Caucasian",0,4,NA,50,42,8,4,NA,10,9
24,0,0,1,0,"Hispanic",1,60,NA,NA,NA,NA,50,NA,NA,NA
54,0,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
81,1,1,1,0,"African American",0,50,NA,NA,NA,NA,100,NA,NA,NA
62,1,1,0,0,"African American",1,48,NA,NA,NA,NA,93,NA,NA,NA
42,0,1,1,1,"Caucasian",0,50,NA,NA,NA,NA,0,NA,NA,NA
43,1,1,1,1,"Hispanic",0,50,50,61,50,50,50,50,27,50
84,0,1,0,1,"Hispanic",0,27,NA,NA,NA,NA,9,NA,NA,NA
57,1,1,1,0,"African American",1,0,1,3,NA,NA,100,100,100,NA
57,1,1,1,1,"Caucasian",0,50,84,80,83,50,4,9,10,10
41,1,1,1,1,"African American",0,100,NA,NA,NA,NA,100,NA,NA,NA
19,1,0,0,1,"African American",0,100,NA,NA,NA,NA,100,NA,NA,NA
31,0,1,1,0,"African American",1,5,NA,NA,NA,NA,55,NA,NA,NA
38,1,0,1,1,"Hispanic",0,51,NA,NA,NA,NA,24,NA,NA,NA
63,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
23,0,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
69,1,1,1,1,"African American",1,40,NA,NA,NA,NA,62,NA,NA,NA
47,1,1,1,1,"African American",1,50,NA,NA,NA,NA,78,NA,NA,NA
20,1,0,0,0,"Hispanic",1,50,NA,NA,NA,NA,70,NA,NA,NA
46,1,0,0,1,"African American",0,0,NA,NA,NA,NA,98,NA,NA,NA
55,1,0,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
41,1,0,1,1,"Hispanic",1,0,NA,NA,NA,NA,50,NA,NA,NA
27,0,0,0,0,"African American",0,0,NA,NA,NA,NA,92,NA,NA,NA
24,1,0,0,0,"African American",1,50,NA,NA,NA,NA,91,NA,NA,NA
47,1,1,1,0,"African American",1,50,NA,NA,NA,NA,92,NA,NA,NA
70,0,0,1,0,"Hispanic",1,81,NA,NA,NA,NA,87,NA,NA,NA
57,1,1,1,1,"Caucasian",0,50,50,NA,50,NA,0,0,NA,NA
58,1,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
45,1,0,1,1,"African American",1,0,0,0,NA,NA,100,100,100,NA
58,0,1,1,1,"African American",1,2,14,0,NA,0,100,100,100,100
41,1,1,1,1,"Caucasian",0,2,NA,NA,NA,NA,45,NA,NA,NA
36,0,0,0,1,"Caucasian",0,0,NA,NA,NA,NA,34,NA,NA,NA
42,1,1,1,1,"African American",1,98,91,78,74,85,100,100,76,50
61,1,1,1,1,"African American",1,69,NA,32,100,NA,80,NA,50,NA
34,1,1,1,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
22,0,1,1,0,"African American",1,75,NA,NA,NA,NA,100,NA,NA,NA
43,0,0,0,1,"African American",0,0,NA,NA,NA,NA,100,NA,NA,NA
55,1,1,1,1,"African American",1,50,NA,NA,NA,NA,91,NA,NA,NA
61,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
69,0,1,1,0,"Caucasian",1,100,95,97,93,92,100,100,98,97
49,1,1,1,0,"African American",1,0,0,0,0,0,86,74,75,50
31,1,0,0,1,"African American",1,50,84,50,85,82,99,65,81,100
50,1,1,1,0,"African American",1,85,50,4,45,23,89,100,79,50
18,0,0,0,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
43,0,1,1,0,"Hispanic",0,49,NA,NA,NA,NA,24,NA,NA,NA
36,1,1,1,1,"African American",1,50,50,50,50,63,50,50,100,50
50,1,1,1,0,"Caucasian",1,50,NA,NA,NA,NA,92,NA,NA,NA
49,1,1,1,0,"Hispanic",1,100,NA,NA,NA,NA,50,NA,NA,NA
44,1,1,1,0,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
34,1,1,1,0,"African American",1,99,NA,NA,NA,NA,91,NA,NA,NA
53,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
50,0,1,1,0,"Caucasian",1,50,55,70,60,65,93,50,90,93
59,0,1,1,1,"Caucasian",0,100,87,100,100,NA,92,86,100,NA
56,1,1,1,1,"Caucasian",1,50,84,81,98,90,57,75,81,89
55,0,1,1,0,"African American",1,71,80,NA,NA,NA,88,90,NA,NA
27,1,0,0,0,"Caucasian",1,18,32,92,55,66,58,53,83,76
38,0,1,1,1,"African American",0,50,50,50,50,NA,40,61,79,NA
38,1,1,1,1,"Hispanic",0,50,50,21,50,29,70,82,70,50
43,1,1,1,1,"African American",1,50,100,100,100,100,50,100,100,50
44,0,1,1,1,"African American",1,9,24,16,16,NA,94,50,50,NA
26,1,0,0,1,"African American",1,75,NA,NA,NA,NA,100,NA,NA,NA
53,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
55,1,1,1,0,"African American",1,13,NA,NA,NA,NA,100,NA,NA,NA
23,0,1,1,0,"African American",1,0,50,0,0,0,100,100,50,50
25,1,1,1,1,"African American",1,50,NA,NA,NA,NA,88,NA,NA,NA
40,1,1,1,1,"African American",1,50,NA,NA,NA,NA,86,NA,NA,NA
26,1,1,1,1,"African American",1,50,NA,NA,NA,NA,86,NA,NA,NA
58,1,1,1,0,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
37,1,1,1,0,"African American",1,50,50,50,50,50,50,50,100,50
19,1,0,0,1,"African American",1,49,50,50,50,NA,100,100,95,NA
77,1,1,1,1,"African American",1,0,50,50,38,50,100,100,96,50
62,0,1,1,1,"African American",1,50,63,50,50,50,100,100,84,100
75,1,1,1,0,"African American",1,50,36,63,NA,50,100,100,91,50
56,1,1,1,0,"African American",1,37,50,81,64,52,100,50,100,100
57,1,1,1,0,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
26,0,0,1,1,"African American",1,0,12,50,50,50,100,50,100,100
21,0,0,1,1,"African American",1,30,30,NA,NA,NA,80,50,NA,NA
30,0,0,1,1,"African American",1,61,78,81,NA,NA,100,100,100,NA
68,0,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,0,NA,NA,NA
51,1,1,1,0,"African American",1,2,NA,NA,NA,NA,83,NA,NA,NA
75,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
18,1,0,0,0,"African American",1,100,100,50,93,100,100,100,100,100
42,1,0,1,0,"Hispanic",1,100,100,86,83,98,100,100,100,50
22,1,0,0,1,"Hispanic",0,100,NA,NA,NA,NA,100,NA,NA,NA
45,1,0,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
22,1,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
72,0,1,1,0,"African American",1,50,53,94,50,75,100,100,50,100
60,1,1,1,0,"African American",1,50,75,50,96,NA,100,100,50,NA
52,1,1,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
61,0,0,1,1,"African American",1,50,NA,NA,NA,NA,70,NA,NA,NA
66,1,1,1,0,"African American",1,48,34,50,44,50,100,50,50,50
23,1,0,0,1,"Hispanic",0,0,NA,NA,NA,NA,80,NA,NA,NA
49,0,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
51,1,0,0,0,"Hispanic",0,50,NA,NA,NA,NA,96,NA,NA,NA
22,0,1,0,0,"African American",1,67,100,100,61,NA,83,100,100,NA
60,1,1,1,0,"African American",1,79,100,100,50,51,100,100,100,100
39,1,0,1,0,"African American",1,27,55,100,87,NA,100,100,100,NA
24,1,1,1,0,"African American",1,0,0,0,0,0,100,50,100,100
21,0,0,0,0,"African American",1,0,NA,NA,NA,NA,86,NA,NA,NA
68,0,1,0,1,"Hispanic",0,81,93,82,88,NA,72,50,50,NA
68,1,0,1,1,"Hispanic",1,94,NA,NA,NA,NA,10,NA,NA,NA
66,1,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,40,NA,NA,NA
19,1,1,0,0,"African American",0,50,NA,NA,NA,NA,72,NA,NA,NA
32,1,0,1,0,"Hispanic",1,100,NA,NA,NA,NA,0,NA,NA,NA
32,0,0,1,0,"Caucasian",1,100,NA,NA,NA,NA,0,NA,NA,NA
68,1,1,1,0,"Caucasian",1,50,NA,NA,NA,NA,0,NA,NA,NA
88,1,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,80,NA,NA,NA
62,0,1,1,1,"African American",1,34,NA,NA,NA,NA,93,NA,NA,NA
32,0,0,0,0,"African American",1,6,NA,NA,NA,NA,77,NA,NA,NA
68,1,1,1,0,"Hispanic",1,50,89,76,76,50,85,50,81,50
59,0,1,1,0,"Caucasian",1,81,50,73,86,NA,43,50,40,NA
56,1,1,1,0,"Caucasian",1,72,100,100,90,89,68,50,74,74
81,0,1,1,0,"African American",1,37,NA,NA,NA,NA,92,NA,NA,NA
24,1,0,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
66,1,1,1,0,"African American",1,50,NA,NA,NA,NA,83,NA,NA,NA
47,1,0,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
46,1,0,1,0,"African American",1,50,50,55,50,50,100,100,100,100
24,0,0,0,0,"African American",0,50,NA,NA,NA,NA,78,NA,NA,NA
30,0,0,0,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
75,1,0,0,0,"Hispanic",1,100,NA,NA,NA,NA,99,NA,NA,NA
44,1,1,1,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
46,0,0,1,0,"African American",1,2,NA,NA,NA,NA,50,NA,NA,NA
23,1,0,1,0,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
60,1,1,1,1,"Hispanic",0,50,56,50,50,NA,50,50,33,NA
67,0,1,1,1,"Caucasian",1,50,50,50,50,50,70,40,40,50
62,0,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,64,NA,NA,NA
61,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,66,NA,NA,NA
27,0,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,70,NA,NA,NA
61,0,1,1,1,"Hispanic",1,90,NA,NA,NA,NA,75,NA,NA,NA
27,1,0,1,1,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
51,1,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
19,0,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,60,NA,NA,NA
43,1,0,1,0,"Hispanic",0,50,67,73,79,66,32,50,25,30
45,0,0,1,0,"Hispanic",0,50,50,50,50,51,50,13,0,50
51,1,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
31,0,0,0,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
30,0,0,0,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
50,0,1,1,0,"Caucasian",1,50,NA,NA,NA,NA,92,NA,NA,NA
33,0,1,1,1,"Caucasian",0,50,50,50,50,70,100,100,90,50
19,0,0,0,0,"Hispanic",0,0,50,40,45,40,70,50,50,50
28,0,0,0,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
56,1,0,1,0,"African American",1,33,NA,NA,NA,NA,100,NA,NA,NA
39,1,0,0,1,"African American",1,32,50,50,50,50,94,50,90,70
60,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,100,NA,NA,NA
36,1,0,0,1,"African American",1,2,4,0,0,0,100,50,86,71
25,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
30,0,0,0,0,"Hispanic",0,0,NA,NA,NA,NA,83,NA,NA,NA
